"('pid',)","('primaryName',)","('birthYear',)","('deathYear',)"
nm0000353,Willem Dafoe,1955,
nm0000354,Matt Damon,1970,
nm0000358,Daniel Day-Lewis,1957,
nm0000361,Brian De Palma,1940,
nm0000362,Danny DeVito,1944,
nm0000365,Julie Delpy,1969,
nm0000366,Catherine Deneuve,1943,
nm0000367,Gérard Depardieu,1948,
nm0000368,Laura Dern,1967,
nm0000369,Matt Dillon,1964,
nm0000372,Amanda Donohoe,1962,
nm0000374,Brad Dourif,1950,
nm0000375,Robert Downey Jr.,1965,
nm0000377,Richard Dreyfuss,1947,
nm0000378,Minnie Driver,1970,
nm0000379,Kirsten Dunst,1982,
nm0000380,Robert Duvall,1931,
nm0000381,Anthony Edwards,1962,
nm0000383,Jennifer Ehle,1969,
nm0000384,Danny Elfman,1953,
nm0000385,Sam Elliott,1944,
nm0000386,Roland Emmerich,1955,
nm0000387,Robert Englund,1947,
nm0000388,R. Lee Ermey,1944,2018
nm0000389,Emilio Estevez,1962,
nm0000390,Joe Eszterhas,1944,
nm0000391,Rupert Everett,1959,
nm0000397,Corey Feldman,1971,
nm0000398,Sally Field,1946,
nm0000399,David Fincher,1962,
nm0000400,Linda Fiorentino,1958,
nm0000401,Laurence Fishburne,1961,
nm0000402,Carrie Fisher,1956,2016
nm0000403,Bridget Fonda,1964,
nm0000404,Jane Fonda,1937,
nm0000408,Jonathan Frakes,1952,
nm0000409,Brendan Fraser,1968,
nm0000411,Edward Furlong,1977,
nm0000412,Andy Garcia,1956,
nm0000414,Teri Garr,1947,
nm0000415,Jami Gertz,1965,
nm0000416,Terry Gilliam,1940,
nm0000417,Crispin Glover,1964,
nm0000418,Danny Glover,1946,
nm0000420,Valeria Golino,1965,
nm0000421,Cuba Gooding Jr.,1968,
nm0000422,John Goodman,1952,
nm0000424,Hugh Grant,1960,
nm0000426,Jennifer Grey,1960,
nm0000427,Pam Grier,1949,
nm0000430,Steve Guttenberg,1958,
nm0000431,Taylor Hackford,1944,
nm0000432,Gene Hackman,1930,
nm0000433,Corey Haim,1971,2010
nm0000434,Mark Hamill,1951,
nm0000435,Daryl Hannah,1960,
nm0000436,Curtis Hanson,1945,2016
nm0000437,Woody Harrelson,1961,
nm0000438,Ed Harris,1950,
nm0000439,Neil Patrick Harris,1973,
nm0000441,Noah Hathaway,1971,
nm0000442,Rutger Hauer,1944,2019
nm0000443,Goldie Hawn,1945,
nm0000445,Dan Hedaya,1940,
nm0000446,Mariel Hemingway,1961,
nm0000448,Lance Henriksen,1940,
nm0000450,Philip Seymour Hoffman,1967,2014
nm0000451,Gaby Hoffmann,1982,
nm0000452,Lauren Holly,1963,
nm0000453,Ian Holm,1931,2020
nm0000454,Dennis Hopper,1936,2010
nm0000455,John Hughes,1950,2009
nm0000456,Holly Hunter,1958,
nm0000457,John Hurt,1940,2017
nm0000458,William Hurt,1950,
nm0000459,Timothy Hutton,1960,
nm0000460,Jeremy Irons,1948,
nm0000461,Michael Ironside,1950,
nm0000463,Famke Janssen,1964,
nm0000464,Jim Jarmusch,1953,
nm0000466,Jean-Pierre Jeunet,1953,
nm0000469,James Earl Jones,1931,
nm0000470,Jeffrey Jones,1946,
nm0000471,Raul Julia,1940,1994
nm0000473,Diane Keaton,1946,
nm0000474,Michael Keaton,1951,
nm0000475,Patsy Kensit,1968,
nm0000483,Christopher Lambert,1957,
nm0000484,John Landis,1950,
nm0000485,Fritz Lang,1890,1976
nm0000486,Heather Langenkamp,1964,
nm0000487,Ang Lee,1954,
nm0000488,Brandon Lee,1965,1993
nm0000489,Christopher Lee,1922,2015
nm0000490,Spike Lee,1957,
nm0000491,John Leguizamo,1964,
nm0000492,Jennifer Jason Leigh,1962,
nm0000493,Jack Lemmon,1925,2001
nm0000494,Robert Sean Leonard,1969,
nm0000495,Téa Leoni,1966,
nm0000496,Juliette Lewis,1973,
nm0000497,Jennifer Lien,1974,
nm0000498,Matthew Lillard,1970,
nm0000500,Richard Linklater,1960,
nm0000501,Ray Liotta,1954,
nm0000502,Christopher Lloyd,1938,
nm0000505,Nia Long,1970,
nm0000506,Julia Louis-Dreyfus,1961,
nm0000507,Rob Lowe,1964,
nm0000508,Carey Lowell,1961,
nm0000510,Andie MacDowell,1958,
nm0000511,Shirley MacLaine,1934,
nm0000513,William H. Macy,1950,
nm0000514,Michael Madsen,1957,
nm0000515,Virginia Madsen,1961,
nm0000517,Terrence Malick,1943,
nm0000518,John Malkovich,1953,
nm0000519,David Mamet,1947,
nm0000520,Michael Mann,1943,
nm0000521,Sophie Marceau,1966,
nm0000523,Julianna Margulies,1966,
nm0000525,Heather Matarazzo,1982,
nm0000526,Samantha Mathis,1970,
nm0000527,Walter Matthau,1920,2000
nm0000531,Frances McDormand,1957,
nm0000532,Malcolm McDowell,1943,
nm0000534,Kelly McGillis,1957,
nm0000535,Rose McGowan,1973,
nm0000537,Steve McQueen,1930,1980
nm0000538,Colm Meaney,1953,
nm0000539,Dina Meyer,1968,
nm0000541,Bette Midler,1945,
nm0000542,Penelope Ann Miller,1964,
nm0000545,Helen Mirren,1945,
nm0000546,Matthew Modine,1959,
nm0000547,Alfred Molina,1953,
nm0000549,Roger Moore,1927,2017
nm0000551,Dermot Mulroney,1963,
nm0000552,Eddie Murphy,1961,
nm0000553,Liam Neeson,1952,
nm0000554,Sam Neill,1947,
nm0000555,Judd Nelson,1959,
nm0000556,Olivia Newton-John,1948,
nm0000558,Leslie Nielsen,1926,2010
nm0000559,Leonard Nimoy,1931,2015
nm0000560,Nick Nolte,1941,
nm0000563,Chris O'Donnell,1970,
nm0000564,Peter O'Toole,1932,2013
nm0000565,Lena Olin,1955,
nm0000566,Julia Ormond,1965,
nm0000568,Frank Oz,1944,
nm0000569,Gwyneth Paltrow,1972,
nm0000570,Alan Parker,1944,2020
nm0000571,Mary-Louise Parker,1964,
nm0000572,Sarah Jessica Parker,1965,
nm0000574,Jason Patric,1966,
nm0000576,Sean Penn,1960,
nm0000577,George Peppard,1928,1994
nm0000578,Anthony Perkins,1932,1992
nm0000579,Ron Perlman,1950,
nm0000581,Joseph L. Mankiewicz,1909,1993
nm0000582,Joe Pesci,1943,
nm0000583,Wolfgang Petersen,1941,
nm0000586,Jada Pinkett Smith,1971,
nm0000587,Donald Pleasence,1919,1995
nm0000591,Roman Polanski,1933,
nm0000592,Pete Postlethwaite,1946,2011
nm0000593,Kelly Preston,1962,2020
nm0000596,Jonathan Pryce,1947,
nm0000597,Bill Pullman,1953,
nm0000598,Dennis Quaid,1954,
nm0000599,Kathleen Quinlan,1954,
nm0000600,Sam Raimi,1959,
nm0000601,Harold Ramis,1944,2014
nm0000602,Robert Redford,1936,
nm0000603,Vanessa Redgrave,1937,
nm0000604,John C. Reilly,1965,
nm0000605,Brad Renfro,1982,2008
nm0000606,Jean Reno,1948,
nm0000608,Burt Reynolds,1936,2018
nm0000609,Ving Rhames,1959,
nm0000610,Giovanni Ribisi,1974,
nm0000612,Denise Richards,1971,
nm0000613,Joely Richardson,1965,
nm0000614,Alan Rickman,1946,2016
nm0000615,John Ritter,1948,2003
nm0000618,Isabella Rossellini,1952,
nm0000619,Tim Roth,1961,
nm0000620,Mickey Rourke,1952,
nm0000621,Kurt Russell,1951,
nm0000623,Rene Russo,1954,
nm0000624,Laura San Giacomo,1962,
nm0000630,Liev Schreiber,1967,
nm0000631,Ridley Scott,1937,
nm0000632,Jerry Seinfeld,1954,
nm0000634,Peter Sellers,1925,1980
nm0000636,William Shakespeare,1564,1616
nm0000638,William Shatner,1931,
nm0000639,Ally Sheedy,1962,
nm0000640,Martin Sheen,1940,
nm0000641,Gary Sinise,1955,
nm0000643,Tom Skerritt,1933,
nm0000648,Wesley Snipes,1962,
nm0000650,Talisa Soto,1967,
nm0000651,Sissy Spacek,1949,
nm0000652,James Spader,1960,
nm0000653,Brent Spiner,1949,
nm0000654,Terence Stamp,1938,
nm0000655,Eric Stoltz,1961,
nm0000656,Madeleine Stowe,1958,
nm0000657,David Strathairn,1949,
nm0000658,Meryl Streep,1949,
nm0000660,Tami Stronach,1972,
nm0000661,Donald Sutherland,1935,
nm0000662,Kiefer Sutherland,1966,
nm0000664,Patrick Swayze,1952,2009
nm0000666,Lili Taylor,1967,
nm0000667,David Thewlis,1963,
nm0000668,Emma Thompson,1959,
nm0000669,Fred Thompson,1942,2015
nm0000670,Lea Thompson,1961,
nm0000671,Billy Bob Thornton,1955,
nm0000673,Marisa Tomei,1964,
nm0000675,Jeanne Tripplehorn,1963,
nm0000676,Chris Tucker,1971,
nm0000677,Robin Tunney,1972,
nm0000678,Kathleen Turner,1954,
nm0000679,Deborah Kara Unger,1966,
nm0000680,Casper Van Dien,1968,
nm0000681,Vince Vaughn,1970,
nm0000682,Paul Verhoeven,1938,
nm0000683,Gore Vidal,1925,2012
nm0000685,Jon Voight,1938,
nm0000686,Christopher Walken,1943,
nm0000688,Sela Ward,1956,
nm0000691,John Waters,1946,
nm0000693,Peter Weller,1947,
nm0000694,Wim Wenders,1945,
nm0000695,Joanne Whalley,1961,
nm0000696,Wil Wheaton,1972,
nm0000697,Billy Wilder,1906,2002
nm0000698,Gene Wilder,1933,2016
nm0000699,Michael Wincott,1958,
nm0000701,Kate Winslet,1975,
nm0000702,Reese Witherspoon,1976,
nm0000703,BD Wong,1960,
nm0000704,Elijah Wood,1981,
nm0000705,Robin Wright,1966,
nm0000706,Michelle Yeoh,1962,
nm0000707,Sean Young,1959,
nm0000708,Billy Zane,1966,
nm0000709,Robert Zemeckis,1951,
nm0000717,Kareem Abdul-Jabbar,1947,
nm0000718,Ian Abercrombie,1934,2012
nm0000719,F. Murray Abraham,1939,
nm0000720,Jim Abrahams,1944,
nm0000725,Joey Lauren Adams,1968,
nm0000726,Maud Adams,1945,
nm0000729,Casey Affleck,1975,
nm0000732,Danny Aiello,1933,2019
nm0000733,Anouk Aimée,1932,
nm0000734,Eddie Albert,1906,2005
nm0000735,Brian Aldiss,1925,2017
nm0000737,Jane Alexander,1939,
nm0000741,Tim Allen,1953,
nm0000743,Néstor Almendros,1930,1992
nm0000744,Maria Conchita Alonso,1957,
nm0000747,Don Ameche,1908,1993
nm0000750,Jon Amiel,1948,
nm0000752,Judith Anderson,1897,1992
nm0000759,Paul Thomas Anderson,1970,
nm0000761,Bibi Andersson,1935,2019
nm0000768,Francesca Annis,1945,
nm0000775,Christina Applegate,1971,
nm0000776,Michael Apted,1941,2021
nm0000782,Asia Argento,1975,
nm0000783,Dario Argento,1940,
nm0000792,Tom Arnold,1959,
nm0000795,Jean Arthur,1900,1991
nm0000798,Linden Ashby,1960,
nm0000799,Edward Asner,1929,2021
nm0000800,Armand Assante,1949,
nm0000802,Mary Astor,1906,1987
nm0000805,Claudine Auger,1941,2019
nm0000807,Jane Austen,1775,1817
nm0000812,Roger Avary,1965,
nm0000814,John G. Avildsen,1935,2017
nm0000819,Barbara Bach,1946,
nm0000820,Burt Bacharach,1928,
nm0000823,Angelo Badalamenti,1937,
nm0000829,Stuart Baird,1947,
nm0000834,Kathy Baker,1950,
nm0000837,Bob Balaban,1945,
nm0000841,Michael Ballhaus,1935,2017
nm0000842,Martin Balsam,1919,1996
nm0000843,Anne Bancroft,1931,2005
nm0000849,Javier Bardem,1969,
nm0000850,Clive Barker,1952,
nm0000855,Raymond J. Barry,1939,
nm0000859,Lionel Barrymore,1878,1954
nm0000867,Jason Bateman,1969,
nm0000870,Kathy Bates,1948,
nm0000874,Steven Bauer,1956,
nm0000875,L. Frank Baum,1856,1919
nm0000876,Noah Baumbach,1969,
nm0000879,Anne Baxter,1923,1985
nm0000881,Michael Bay,1965,
nm0000885,Ned Beatty,1937,2021
nm0000886,Warren Beatty,1937,
nm0000889,Bonnie Bedelia,1948,
nm0000895,Barbara Bel Geddes,1922,2005
nm0000897,Ralph Bellamy,1904,1991
nm0000899,Monica Bellucci,1964,
nm0000905,Roberto Benigni,1952,
nm0000906,Annette Bening,1958,
nm0000913,Robby Benson,1956,
nm0000914,Robert Benton,1932,
nm0000915,Bruce Beresford,1940,
nm0000916,Peter Berg,1964,
nm0000920,Patrick Bergin,1951,
nm0000921,Andrew Bergman,1945,
nm0000922,Sandahl Bergman,1951,
nm0000925,Steven Berkoff,1937,
nm0000929,Corbin Bernsen,1954,
nm0000930,Elmer Bernstein,1922,2004
nm0000931,Elizabeth Berridge,1962,
nm0000932,Halle Berry,1966,
nm0000934,Bernardo Bertolucci,1941,2018
nm0000937,Richard Beymer,1939,
nm0000938,Daniela Bianchi,1942,
nm0000939,Adrian Biddle,1952,2005
nm0000941,Kathryn Bigelow,1951,
nm0000948,Shane Black,1961,
nm0000949,Cate Blanchett,1969,
nm0000950,Brenda Blethyn,1946,
nm0000956,Lisa Bonet,1967,
nm0000957,Jan de Bont,1943,
nm0000958,John Boorman,1933,
nm0000960,Barry Bostwick,1945,
nm0000963,Stephen Boyd,1931,1977
nm0000965,Danny Boyle,1956,
nm0000966,Lorraine Bracco,1954,
nm0000969,Lillo Brancato,1976,
nm0000971,Nicoletta Braschi,1960,
nm0000973,Benjamin Bratt,1963,
nm0000976,Martin Brest,1951,
nm0000977,Beau Bridges,1941,
nm0000978,Lloyd Bridges,1913,1998
nm0000979,Wilford Brimley,1934,2020
nm0000980,Jim Broadbent,1949,
nm0000982,Josh Brolin,1968,
nm0000983,Albert Brooks,1947,
nm0000985,James L. Brooks,1940,
nm0000988,Jerry Bruckheimer,1943,
nm0000993,Carol Burnett,1933,
nm0000995,Ellen Burstyn,1932,
nm0000996,LeVar Burton,1957,
nm0000997,Gary Busey,1944,
nm0000998,Jake Busey,1971,
nm0001001,James Caan,1940,
nm0001003,Simon Callow,1949,
nm0001005,Jane Campion,1954,
nm0001006,John Candy,1950,1994
nm0001008,Frank Capra,1897,1991
nm0001009,Kate Capshaw,1953,
nm0001012,Claudia Cardinale,1938,
nm0001014,Mariah Carey,1969,
nm0001015,Robert Carlyle,1961,
nm0001016,David Carradine,1936,2009
nm0001021,Veronica Cartwright,1949,
nm0001022,Dana Carvey,1955,
nm0001023,John Cassavetes,1929,1989
nm0001024,Nick Cassavetes,1959,
nm0001025,Seymour Cassel,1935,2019
nm0001026,Joanna Cassidy,1945,
nm0001029,Jim Caviezel,1968,
nm0001030,John Cazale,1935,1978
nm0001037,Graham Chapman,1941,1989
nm0001038,Josh Charles,1971,
nm0001040,Joan Chen,1961,
nm0001041,Maggie Cheung,1964,
nm0001044,Rae Dawn Chong,1961,
nm0001046,Julie Christie,1940,
nm0001047,Michael Cimino,1939,2016
nm0001053,Ethan Coen,1957,
nm0001054,Joel Coen,1954,
nm0001055,Claudette Colbert,1903,1996
nm0001056,Dabney Coleman,1932,
nm0001057,Toni Collette,1972,
nm0001059,Robbie Coltrane,1950,
nm0001060,Chris Columbus,1958,
nm0001063,Jeff Conaway,1950,2011
nm0001065,Harry Connick Jr.,1967,
nm0001067,Jackie Coogan,1914,1984
nm0001068,Sofia Coppola,1971,
nm0001069,Bud Cort,1948,
nm0001072,Joseph Cotten,1905,1994
nm0001073,Courteney Cox,1964,
nm0001074,Ronny Cox,1938,
nm0001075,Peter Coyote,1941,
nm0001077,Richard Crenna,1926,2003
nm0001079,Scatman Crothers,1910,1986
nm0001081,Cameron Crowe,1957,
nm0001082,Billy Crudup,1968,
nm0001084,Ice Cube,1969,
nm0001085,Kieran Culkin,1982,
nm0001089,Henry Czerny,1959,
nm0001093,John Dahl,1956,
nm0001094,Roald Dahl,1916,1990
nm0001096,Timothy Dalton,1946,
nm0001097,Charles Dance,1946,
nm0001098,Rodney Dangerfield,1921,2004
nm0001099,Jeff Daniels,1955,
nm0001100,Blythe Danner,1943,
nm0001102,Joe Dante,1946,
nm0001103,Tony Danza,1951,
nm0001104,Frank Darabont,1959,
nm0001107,Stacey Dash,1967,
nm0001108,Robert Davi,1951,
nm0001109,Jaye Davidson,1968,
nm0001110,Embeth Davidtz,1965,
nm0001111,Jeremy Davies,1969,
nm0001112,Andrew Davis,1946,
nm0001114,Judy Davis,1955,
nm0001116,Warwick Davis,1970,
nm0001120,Vittorio De Sica,1901,1974
nm0001122,Ellen DeGeneres,1958,
nm0001125,Benicio Del Toro,1967,
nm0001129,Jonathan Demme,1944,2017
nm0001130,Ted Demme,1963,2002
nm0001131,Patrick Dempsey,1966,
nm0001132,Judi Dench,1934,
nm0001133,Brian Dennehy,1938,2020
nm0001136,Bruce Dern,1936,
nm0001140,Philip K. Dick,1928,1982
nm0001147,Shannen Doherty,1971,
nm0001149,Richard Donner,1930,2021
nm0001150,James Doohan,1920,2005
nm0001151,Stephen Dorff,1973,
nm0001158,Keir Dullea,1936,
nm0001159,Faye Dunaway,1941,
nm0001162,Griffin Dunne,1955,
nm0001164,Charles Durning,1923,2012
nm0001165,Charles S. Dutton,1951,
nm0001167,Shelley Duvall,1949,
nm0001169,George Dzundza,1945,
nm0001171,Buddy Ebsen,1908,2003
nm0001172,Christopher Eccleston,1964,
nm0001173,Aaron Eckhart,1968,
nm0001175,Blake Edwards,1922,2010
nm0001180,Britt Ekland,1942,
nm0001182,Carmen Electra,1972,
nm0001184,Jenna Elfman,1971,
nm0001185,Hector Elizondo,1936,
nm0001186,Denholm Elliott,1922,1992
nm0001187,Noah Emmerich,1965,
nm0001188,Nora Ephron,1941,2012
nm0001189,Gabriel Yared,1949,
nm0001191,Adam Sandler,1966,
nm0001201,Mia Farrow,1945,
nm0001204,Marty Feldman,1934,1982
nm0001208,Miguel Ferrer,1955,2017
nm0001209,William Fichtner,1956,
nm0001210,Chelsea Field,1957,
nm0001212,Joseph Fiennes,1970,
nm0001213,Harvey Fierstein,1954,
nm0001214,Mike Figgis,1948,
nm0001215,Albert Finney,1936,2019
nm0001217,Fionnula Flanagan,1941,
nm0001218,Sean Patrick Flanery,1965,
nm0001219,Gary Fleder,1965,
nm0001220,Ian Fleming,1908,1964
nm0001221,Louise Fletcher,1934,
