"('mid',)","('pid',)","('name',)"
tt0033563,nm0001359,Mr. Stork
tt0033563,nm0112395,Timothy Q. Mouse
tt0033563,nm0082884,The Ringmaster
tt0033563,nm0088285,Clown
tt0033870,nm0000007,Samuel Spade
tt0033870,nm0000802,Brigid O'Shaughnessy
tt0033870,nm0313438,Iva Archer
tt0033870,nm0000048,Joel Cairo
tt0034492,nm0017013,Adolescent Bambi
tt0034492,nm0018755,Young Flower
tt0034492,nm0066951,Young Thumper
tt0034583,nm0000007,Rick Blaine
tt0034583,nm0000006,Ilsa Lund
tt0034583,nm0002134,Victor Laszlo
tt0034583,nm0001647,Captain Louis Renault
tt0036775,nm0534045,Walter Neff
tt0036775,nm0001766,Phyllis Dietrichson
tt0036775,nm0000064,Barton Keyes
tt0036775,nm0056477,Nino Zachetti
tt0038650,nm0000071,George Bailey
tt0038650,nm0001656,Mary Hatch
tt0038650,nm0000859,Mr. Potter
tt0038650,nm0593775,Uncle Billy
tt0040522,nm0536009,Antonio
tt0040522,nm0821543,Bruno
tt0040522,nm0136794,Maria
tt0040522,nm0022821,The Charitable Lady
tt0040746,nm0000071,Rupert Cadell
tt0040746,nm0197982,Brandon
tt0040746,nm0335048,Phillip
tt0040746,nm0389516,David Kentley
tt0040897,nm0000007,Fred C. Dobbs
tt0040897,nm0404158,Howard
tt0040897,nm0392529,Curtin
tt0040897,nm0071636,Cody
tt0041959,nm0000080,Harry Lime
tt0041959,nm0001072,Holly Martins
tt0041959,nm0885098,Anna Schmidt
tt0041959,nm0002145,Maj. Calloway
tt0042192,nm0000012,Margo
tt0042192,nm0000879,Eve
tt0042192,nm0001695,Addison DeWitt
tt0042192,nm0002141,Karen
tt0042332,nm0940627,Cinderella
tt0042332,nm0531763,Jaq
tt0042332,nm0531763,Gus
tt0042332,nm0531763,Bruno
tt0042332,nm0041598,Lady Tremaine
tt0042332,nm0271658,Fairy Godmother
tt0042876,nm0001536,Tajômaru
tt0042876,nm0477553,Masako Kanazawa
tt0042876,nm0605270,Takehiro Kanazawa
tt0042876,nm0793766,Woodcutter
tt0043014,nm0000034,Joe Gillis
tt0043014,nm0841797,Norma Desmond
tt0043014,nm0002233,Max Von Mayerling
tt0043014,nm0647970,Betty Schaefer
tt0043274,nm0064607,Alice
tt0043274,nm0943956,Mad Hatter
tt0043274,nm0370821,Caterpillar
tt0043274,nm0001359,Cheshire Cat
tt0044079,nm0335048,Guy Haines
tt0044079,nm0908153,Bruno Antony
tt0044079,nm0738746,Anne Morton
tt0044079,nm0001991,Sen. Morton
tt0044081,nm0000046,Blanche
tt0044081,nm0000008,Stanley
tt0044081,nm0001375,Stella
tt0044081,nm0001500,Mitch
tt0044706,nm0000011,Marshal Will Kane
tt0044706,nm0000038,Amy Fowler Kane
tt0044706,nm0593775,Mayor Jonas Henderson
tt0044706,nm0000978,Deputy Marshal Harvey Pell
tt0045152,nm0000037,Don Lockwood
tt0045152,nm0640307,Cosmo Brown
tt0045152,nm0001666,Kathy Selden
tt0045152,nm0353405,Lina Lamont
tt0046183,nm0237985,Peter Pan
tt0046183,nm0064607,Wendy Darling
tt0046183,nm0175788,Captain Hook
tt0046183,nm0175788,Mr. Darling
tt0046183,nm0859892,Mr. Smee
tt0046183,nm0859892,Pirates
tt0046250,nm0000060,Joe Bradley
tt0046250,nm0000030,Princess Ann
tt0046250,nm0000734,Irving Radovich
tt0046250,nm0694403,Mr. Hennessy
tt0046912,nm0001537,Tony Wendice
tt0046912,nm0000038,Margot Wendice
tt0046912,nm0191950,Mark Halliday
tt0046912,nm0002369,Chief Inspector Hubbard
tt0047296,nm0000008,Terry Malloy
tt0047296,nm0001500,Father Barry
tt0047296,nm0002011,Johnny Friendly
tt0047296,nm0001768,Charley Malloy
tt0047396,nm0000071,L.B. Jefferies
tt0047396,nm0000038,Lisa Fremont
tt0047396,nm0179819,Tom Doyle
tt0047396,nm0728812,Stella
tt0047478,nm0001536,Kikuchiyo
tt0047478,nm0793766,Kambei Shimada
tt0047478,nm0875477,Shino
tt0047478,nm0793616,Wife
tt0048280,nm0524853,Lady
tt0048280,nm0731333,Tramp
tt0048280,nm0498007,Darling
tt0048280,nm0498007,Si
tt0048280,nm0498007,Am
tt0048280,nm0859892,Jock
tt0048280,nm0859892,Bull - the Bull Terrier
tt0048280,nm0859892,Policeman at Zoo
tt0050083,nm0000020,Juror 8
tt0050083,nm0002011,Juror 3
tt0050083,nm0000842,Juror 1
tt0050083,nm0275835,Juror 2
tt0050212,nm0000034,Shears
tt0050212,nm0000027,Colonel Nicholson
tt0050212,nm0370144,Major Warden
tt0050212,nm0370564,Colonel Saito
tt0050825,nm0000018,Col. Dax
tt0050825,nm0576127,Cpl. Philippe Paris
tt0050825,nm0579663,Gen. George Broulard
tt0050825,nm0534317,Gen. Paul Mireau
tt0050976,nm0001884,Antonius Block
tt0050976,nm0085038,"Jöns, squire"
tt0050976,nm0252345,Death
tt0050976,nm0691555,Jof
tt0050976,nm0691555,Joseph
tt0050986,nm0803705,Dr. Eberhard Isak Borg
tt0050986,nm0000761,Sara
tt0050986,nm0000761,Hitchhiker
tt0050986,nm0862026,Marianne Borg
tt0050986,nm0085038,Dr. Evald Borg
tt0051201,nm0000061,Leonard Vole
tt0051201,nm0000017,Christine
tt0051201,nm0001452,Sir Wilfrid Robarts
tt0051201,nm0006471,Miss Plimsoll
tt0052311,nm0000032,Mike Vargas
tt0052311,nm0000080,Police Captain Hank Quinlan
tt0052311,nm0001463,Susan Vargas
tt0052311,nm0130407,Police Sergeant Pete Menzies
tt0052357,nm0000071,John 'Scottie' Ferguson
tt0052357,nm0001571,Madeleine Elster
tt0052357,nm0001571,Judy Barton
tt0052357,nm0000895,Marjorie 'Midge' Wood
tt0052357,nm0375738,Gavin Elster
tt0052618,nm0000032,Judah Ben-Hur
tt0052618,nm0370144,Quintus Arrius
tt0052618,nm0000963,Messala
tt0052618,nm0361823,Esther
tt0053125,nm0000026,Roger Thornhill
tt0053125,nm0001693,Eve Kendall
tt0053125,nm0000051,Phillip Vandamm
tt0053125,nm0484829,Clara Thornhill
tt0053198,nm0529543,Antoine Doinel
tt0053198,nm0753716,Julien Doinel
tt0053198,nm0561158,Gilberte Doinel - la mère d'Antoine
tt0053198,nm0213948,"'Petite Feuille', the French teacher"
tt0053285,nm0182250,Princess Aurora
tt0053285,nm0794301,Prince Phillip
tt0053285,nm0041598,Maleficent
tt0053285,nm0271658,Flora
tt0053285,nm0271658,Queen Leah
tt0053291,nm0000054,Sugar Kane Kowalczyk
tt0053291,nm0000348,Joe
tt0053291,nm0000348,Josephine
tt0053291,nm0000348,Shell Oil Junior
tt0053291,nm0000493,Jerry
tt0053291,nm0000493,Daphne
tt0053291,nm0706368,Spats Colombo
tt0053604,nm0000493,C.C. Baxter
tt0053604,nm0000511,Fran Kubelik
tt0053604,nm0534045,Jeff D. Sheldrake
tt0053604,nm0001827,Joe Dobisch
tt0054215,nm0000578,Norman Bates
tt0054215,nm0001463,Marion Crane
tt0054215,nm0587256,Lila Crane
tt0054215,nm0001260,Sam Loomis
tt0054331,nm0000018,Spartacus
tt0054331,nm0000059,Crassus
tt0054331,nm0001739,Varinia
tt0054331,nm0001452,Gracchus
tt0054698,nm0000030,Holly Golightly
tt0054698,nm0000577,Paul Varjak
tt0054698,nm0623658,2E Failenson
tt0054698,nm0001171,Doc Golightly
tt0055254,nm0001792,Pongo
tt0055254,nm0314867,Cruella De Vil
tt0055254,nm0314867,Miss Birdwell
tt0055254,nm0641729,Colonel
tt0055254,nm0641729,Jasper
tt0055254,nm0921131,Nanny
tt0055254,nm0921131,Queenie
tt0055254,nm0921131,Lucy
tt0055614,nm0000081,Maria
tt0055614,nm0001995,Bernardo
tt0055614,nm0000937,Tony
tt0055614,nm0848560,Riff
tt0055630,nm0001536,Sanjuro Kuwabatake
tt0055630,nm0001536,The Samurai
tt0055630,nm0867391,Gonji - Tavern Keeper
tt0055630,nm0619938,Unosuke - Gunfighter
tt0055630,nm0875362,Nui
tt0055928,nm0000125,James Bond
tt0055928,nm0000266,Honey Ryder
tt0055928,nm0496866,M.
tt0055928,nm0936476,Dr. No
tt0056172,nm0000564,Lawrence
tt0056172,nm0000027,Prince Faisal
tt0056172,nm0000063,Auda Abu Tayi
tt0056172,nm0370144,General Allenby
tt0056592,nm0000060,Atticus Finch
tt0056592,nm0576345,Dill Harris
tt0056592,nm0653942,Sheriff Heck Tate
tt0056592,nm0614677,Maudie Atkinson
tt0056801,nm0000052,Guido Anselmi
tt0056801,nm0000733,Luisa Anselmi
tt0056801,nm0001012,Claudia
tt0056801,nm0590452,Carla
tt0056869,nm0001792,Mitch Brenner
tt0056869,nm0001335,Melanie Daniels
tt0056869,nm0001788,Lydia Brenner
tt0056869,nm0687189,Annie Hayworth
tt0057012,nm0000634,Group Capt. Lionel Mandrake
tt0057012,nm0000634,President Merkin Muffley
tt0057012,nm0000634,Dr. Strangelove
tt0057012,nm0001715,Gen. 'Buck' Turgidson
tt0057012,nm0001330,Brig. Gen. Jack D. Ripper
tt0057012,nm0943978,Col. 'Bat' Guano
tt0057076,nm0000125,James Bond
tt0057076,nm0001727,Donald 'Red' Grant
tt0057076,nm0502322,Rosa Klebb
tt0057076,nm0000938,Tatiana Romanova
tt0057115,nm0000537,Hilts 'The Cooler King'
tt0057115,nm0001258,Hendley 'The Scrounger'
tt0057115,nm0000277,Bartlett 'Big X'
tt0057115,nm0000314,Danny 'Tunnel King'
tt0058150,nm0000125,James Bond
tt0058150,nm0002085,Auric Goldfinger
tt0058150,nm0000303,Pussy Galore
tt0058150,nm0247881,Jill Masterson
tt0058331,nm0000267,Mary Poppins
tt0058331,nm0001813,Bert
tt0058331,nm0001813,Mr. Dawes Senior
tt0058331,nm0866835,Mr. George W. Banks
tt0058331,nm0424318,Mrs. Winnifred Banks
tt0058461,nm0000142,Joe
tt0058461,nm0002231,Ramón Rojo
tt0058461,nm0462367,Marisol
tt0058461,nm0525742,John Baxter
tt0059578,nm0000142,Monco
tt0059578,nm0001812,Col. Douglas Mortimer
tt0059578,nm0002231,El Indio (The Indian)
tt0059578,nm0472756,Mary - Hotel Manager's Beautiful Wife
tt0059742,nm0000267,Maria
tt0059742,nm0001626,Captain Georg von Trapp
tt0059742,nm0662223,The Baroness
tt0059742,nm0370821,Max Detweiler
tt0059800,nm0000125,James Bond
tt0059800,nm0000805,Domino
tt0059800,nm0148041,Largo
tt0059800,nm0658885,Fiona
tt0060196,nm0000142,Blondie
tt0060196,nm0908919,Tuco
tt0060196,nm0001812,Sentenza
tt0060196,nm0001812,Angel Eyes
tt0060196,nm0321294,Alcoholic Union Captain
tt0060827,nm0000761,Alma
tt0060827,nm0880521,Elisabet Vogler
tt0060827,nm0472234,The Doctor
tt0060827,nm0085038,Mr. Vogler
tt0061418,nm0000886,Clyde Barrow
tt0061418,nm0001159,Bonnie Parker
tt0061418,nm0689488,C.W. Moss
tt0061418,nm0000432,Buck Barrow
tt0061512,nm0000056,Luke
tt0061512,nm0001421,Dragline
tt0061512,nm0001510,Captain
tt0061512,nm0134201,Society Red
tt0061722,nm0000163,Ben Braddock
tt0061722,nm0000843,Mrs. Robinson
tt0061722,nm0001684,Elaine Robinson
tt0061722,nm0200122,Mr. Braddock
tt0061852,nm0365201,Baloo the Bear
tt0061852,nm0001982,Bagheera the Panther
tt0061852,nm0697515,King Louie of the Apes
tt0061852,nm0718624,Mowgli the Man Cub
tt0062512,nm0000125,James Bond
tt0062512,nm0906686,Aki
tt0062512,nm0357240,Kissy
tt0062512,nm0848533,Tiger Tanaka
tt0062622,nm0001158,Dr. Dave Bowman
tt0062622,nm0516972,Dr. Frank Poole
tt0062622,nm0843213,Dr. Heywood R. Floyd
tt0062622,nm0725220,Moon-Watcher
tt0063350,nm0774736,Karen Cooper
tt0063350,nm0774736,Corpse in House
tt0063350,nm0427977,Ben
tt0063350,nm0640621,Barbra
tt0063350,nm0362457,Harry Cooper
tt0063350,nm0247659,Helen Cooper
tt0063350,nm0915593,Tom
tt0063350,nm0725985,Judy
tt0063442,nm0000032,George Taylor
tt0063442,nm0001522,Cornelius
tt0063442,nm0001375,Zira
tt0063442,nm0263052,Dr. Zaius
tt0063522,nm0001201,Rosemary Woodhouse
tt0063522,nm0001023,Guy Woodhouse
tt0063522,nm0002106,Minnie Castevet
tt0063522,nm0085782,Roman Castevet
tt0064115,nm0000056,Butch Cassidy
tt0064115,nm0000602,The Sundance Kid
tt0064115,nm0001684,Etta Place
tt0064115,nm0001510,Percy Garris
tt0064116,nm0000020,Frank
tt0064116,nm0000314,Harmonica
tt0064116,nm0001012,Jill McBain
tt0064116,nm0001673,Manuel 'Cheyenne' Gutiérrez
tt0064276,nm0001228,Wyatt
tt0064276,nm0000454,Billy
tt0064276,nm0000197,George Hanson
tt0064276,nm0579234,Jesus
tt0064665,nm0000163,Ratso
tt0064665,nm0000685,Joe Buck
tt0064665,nm0587249,Cass
tt0064665,nm0569410,Mr. O'Daniel
tt0065421,nm0365201,O'Malley
tt0065421,nm0001247,Duchess
tt0065421,nm0001359,Roquefort
tt0065421,nm0001079,Scat Cat
tt0066206,nm0001715,General George S. Patton Jr.
tt0066206,nm0001500,General Omar N. Bradley
tt0066206,nm0950079,Captain Chester B. Hansen
tt0066206,nm0835021,Brigadier General Hobart Carver
tt0066921,nm0000532,Alex
tt0066921,nm0535861,Mr Alexander
tt0066921,nm0060988,Chief Guard
tt0066921,nm0165049,Dim
tt0066995,nm0000125,James Bond
tt0066995,nm0001762,Tiffany Case
tt0066995,nm0336509,Blofeld
tt0066995,nm0939836,Plenty O'Toole
tt0066999,nm0000142,Harry
tt0066999,nm0732367,Killer
tt0066999,nm0345340,Bressler
tt0066999,nm0763858,Chico
tt0067116,nm0000432,Doyle
tt0067116,nm0001702,Russo
tt0067116,nm0721073,Alain Charnier
tt0067116,nm0516215,Sal Boca
tt0067992,nm0000698,Willy Wonka
tt0067992,nm0016776,Grandpa Joe
tt0067992,nm0652578,Charlie
tt0067992,nm0455702,Mr. Salt
tt0068473,nm0000685,Ed
tt0068473,nm0000608,Lewis
tt0068473,nm0000885,Bobby
tt0068473,nm0001074,Drew
tt0068646,nm0000008,Don Vito Corleone
tt0068646,nm0000199,Michael
tt0068646,nm0001001,Sonny
tt0068646,nm0000473,Kay Adams
tt0070034,nm0000045,Lee
tt0070034,nm0768334,Roper
tt0070034,nm0446485,Williams
tt0070034,nm0135622,Tania
tt0070047,nm0000995,Chris MacNeil
tt0070047,nm0001884,Father Lankester Merrin
tt0070047,nm0000304,Regan MacNeil
tt0070047,nm0002011,Lt. William Kinderman
tt0070328,nm0000549,James Bond
tt0070328,nm0001433,Kananga
tt0070328,nm0001433,Mr. Big
tt0070328,nm0005412,Solitaire
tt0070328,nm0416378,Sheriff Pepper
tt0070379,nm0000134,Johnny Boy
tt0070379,nm0000172,Charlie
tt0070379,nm0698998,Tony
tt0070379,nm0732364,Teresa
tt0070511,nm0000537,Henri 'Papillon' Charriere
tt0070511,nm0000163,Louis Dega
tt0070511,nm0430460,Indian Chief
tt0070511,nm0330150,Julot
tt0070608,nm0066028,Robin Hood - A Fox
tt0070608,nm0365201,Little John - A Bear
tt0070608,nm0589248,Allan-a-Dale - The Rooster
tt0070608,nm0001811,Prince John - A Lion
tt0070608,nm0001811,King Richard
tt0070666,nm0000199,Serpico
tt0070666,nm0709907,Sidney Green
tt0070666,nm0444955,Tom Keough
tt0070666,nm0570161,Captain McClain
tt0070735,nm0000056,Henry Gondorff
tt0070735,nm0000602,Johnny Hooker
tt0070735,nm0001727,Doyle Lonnegan
tt0070735,nm0001164,Lt. Wm. Snyder
tt0071230,nm0001476,Bart
tt0071230,nm0000698,Jim
tt0071230,nm0001620,Taggart
tt0071230,nm0466327,Hedley Lamarr
tt0071315,nm0000197,J.J. Gittes
tt0071315,nm0001159,Evelyn Mulwray
tt0071315,nm0001379,Noah Cross
tt0071315,nm0520164,Escobar
tt0071360,nm0000432,Harry Caul
tt0071360,nm0001030,Stan
tt0071360,nm0307255,Bernie Moran
tt0071360,nm0002078,Mark
tt0071562,nm0000199,Michael
tt0071562,nm0000134,Vito Corleone
tt0071562,nm0000380,Tom Hagen
tt0071562,nm0000473,Kay
tt0071807,nm0000549,James Bond
tt0071807,nm0000489,Scaramanga
tt0071807,nm0001180,Goodnight
tt0071807,nm0000726,Andrea Anders
tt0071853,nm0001037,King Arthur
tt0071853,nm0001037,Voice of God
tt0071853,nm0001037,Middle Head
tt0071853,nm0000092,Second Swallow-Savvy Guard
tt0071853,nm0000092,The Black Knight
tt0071853,nm0000092,Peasant 3
tt0071853,nm0001385,Dead Collector
tt0071853,nm0001385,Peasant 1
tt0071853,nm0001385,Sir Robin the Not-Quite-So-Brave-as-Sir Launcelot
tt0071853,nm0000416,Patsy
tt0071853,nm0000416,Green Knight
tt0071853,nm0000416,Old Man from Scene 24 (Bridgekeeper)
tt0072271,nm0122782,Sally
tt0072271,nm0623605,Hitchhiker
tt0072271,nm0200758,Jerry
tt0072271,nm0663935,Franklin
tt0072431,nm0000698,Dr. Frederick Frankenstein
tt0072431,nm0001404,Elizabeth
tt0072431,nm0001204,Igor
tt0072431,nm0001967,The Monster
tt0072684,nm0641939,Barry Lyndon
tt0072684,nm0001943,Lady Honoria Lyndon
tt0072684,nm0535861,The Chevalier du Balibari
tt0072684,nm0473228,Capt. Potzdorf
tt0072890,nm0000199,Sonny
tt0072890,nm0001030,Sal
tt0072890,nm0020897,Sylvia
tt0072890,nm0101604,Mulvaney
tt0073195,nm0001702,Brody
tt0073195,nm0001727,Quint
tt0073195,nm0000377,Hooper
tt0073195,nm0308882,Ellen Brody
tt0073486,nm0000197,R.P. McMurphy
tt0073486,nm0001221,Nurse Ratched
tt0073486,nm0077720,Ellis
tt0073486,nm0110480,Col. Matterson
tt0073629,nm0000347,Dr. Frank-N-Furter - A Scientist
tt0073629,nm0000215,Janet Weiss - A Heroine
tt0073629,nm0000960,Brad Majors - A Hero
tt0073629,nm0639782,Riff Raff - A Handyman
tt0074119,nm0000163,Carl Bernstein
tt0074119,nm0000602,Bob Woodward
tt0074119,nm0912001,Harry Rosenfeld
tt0074119,nm0000842,Howard Simons
tt0074285,nm0000651,Carrie
tt0074285,nm0001453,Margaret White
tt0074285,nm0001388,Sue Snell
tt0074285,nm0000237,Billy Nolan
tt0074486,nm0620756,Henry Spencer
tt0074486,nm0829270,Mary X
tt0074486,nm0430535,Mr. X
tt0074486,nm0060931,Mrs. X
tt0074958,nm0001159,Diana Christensen
tt0074958,nm0000034,Max Schumacher
tt0074958,nm0002075,Howard Beale
tt0074958,nm0000380,Frank Hackett
tt0075005,nm0000060,Robert Thorn
tt0075005,nm0001665,Katherine Thorn
tt0075005,nm0827032,Damien
tt0075005,nm0001831,Jennings
tt0075148,nm0000230,Rocky
tt0075148,nm0001735,Adrian
tt0075148,nm0949350,Paulie
tt0075148,nm0001835,Apollo
tt0075314,nm0000134,Travis Bickle
tt0075314,nm0000149,Iris
tt0075314,nm0001732,Betsy
tt0075314,nm0000983,Tom
tt0075686,nm0000095,Alvy Singer
tt0075686,nm0000473,Annie Hall
tt0075686,nm0731634,Rob
tt0075686,nm0001406,Allison
tt0075860,nm0000377,Roy Neary
tt0075860,nm0000076,Claude Lacombe
tt0075860,nm0000414,Ronnie Neary
tt0075860,nm0227039,Jillian Guiler
tt0076752,nm0000549,James Bond
tt0076752,nm0000819,Major Anya Amasova
tt0076752,nm0432007,Stromberg
tt0076752,nm0001423,Jaws
tt0076759,nm0000434,Luke Skywalker
tt0076759,nm0000148,Han Solo
tt0076759,nm0000402,Princess Leia Organa
tt0076759,nm0000027,Ben Obi-Wan Kenobi
tt0077402,nm0256361,Stephen
tt0077402,nm0286010,Peter
tt0077402,nm0718203,Roger
tt0077402,nm0743417,Francine
tt0077416,nm0000134,Michael
tt0077416,nm0000686,Nick
tt0077416,nm0001030,Stan
tt0077416,nm0001698,Steven
tt0077631,nm0000237,Danny
tt0077631,nm0000556,Sandy
tt0077631,nm0000330,Rizzo
tt0077631,nm0001063,Kenickie
tt0077651,nm0000587,Loomis
tt0077651,nm0000130,Laurie
tt0077651,nm0602985,Michael Myers (Age 23)
tt0077651,nm0477341,Annie
tt0077975,nm0000004,John Blutarsky
tt0077975,nm0000261,Katy
tt0077975,nm0001371,Larry Kroger
tt0077975,nm0299122,Kent Dorfman
tt0078346,nm0001659,Superman
tt0078346,nm0001659,Clark Kent
tt0078346,nm0452288,Lois Lane
tt0078346,nm0000432,Lex Luthor
tt0078346,nm0000008,Jor-El
tt0078748,nm0000244,Ripley
tt0078748,nm0000643,Dallas
tt0078748,nm0000457,Kane
tt0078748,nm0001021,Lambert
tt0078788,nm0000640,Captain Benjamin L. Willard
tt0078788,nm0000008,Colonel Walter E. Kurtz
tt0078788,nm0000380,Lieutenant Colonel Bill Kilgore
tt0078788,nm0002078,Jay 'Chef' Hicks
tt0079116,nm0000142,Frank Morris
tt0079116,nm0001526,Warden Arthur Dollison
tt0079116,nm0089348,Chester 'Doc' Dalton
tt0079116,nm0857806,Clarence Anglin
tt0079417,nm0000163,Ted Kramer
tt0079417,nm0000658,Joanna Kramer
tt0079417,nm0000737,Margaret Phelps
tt0079417,nm0377888,Billy Kramer
tt0079470,nm0001037,Wise Man #2
tt0079470,nm0001037,Brian Cohen
tt0079470,nm0001037,Biggus Dickus
tt0079470,nm0000092,Wise Man #1
tt0079470,nm0000092,Reg
tt0079470,nm0000092,Jewish Official
tt0079470,nm0001589,Wise Man #3
tt0079470,nm0001589,Mr. Big Nose
tt0079470,nm0001589,Francis
tt0079470,nm0000416,Man Even Further Forward
tt0079470,nm0000416,Revolutionary
tt0079470,nm0000416,Jailer
tt0079501,nm0000154,Max
tt0079501,nm0760394,Jessie
tt0079501,nm0117412,Toecutter
tt0079501,nm0001950,Jim Goose
tt0079522,nm0000095,Isaac
tt0079522,nm0000473,Mary
tt0079522,nm0000446,Tracy
tt0079522,nm0614526,Yale
tt0079817,nm0000230,Rocky Balboa
tt0079817,nm0001735,Adrian
tt0079817,nm0949350,Paulie
tt0079817,nm0001835,Apollo Creed
tt0079944,nm0293981,Zhena Stalkera
tt0079944,nm0435289,Stalker
tt0079944,nm0813463,Pisatel
tt0079944,nm0342458,Professor
tt0080120,nm0065235,Swan
tt0080120,nm0001664,Ajax
tt0080120,nm0942352,Cleon
tt0080120,nm0878784,Snow
tt0080339,nm0001332,Ted Striker
tt0080339,nm0353546,Elaine Dickinson
tt0080339,nm0000558,Dr. Rumack
tt0080339,nm0000717,Roger Murdock
tt0080455,nm0000004,Joliet Jake Blues
tt0080455,nm0000101,Elwood Blues
tt0080455,nm0130572,Curtis
tt0080455,nm0001006,Burton Mercer
tt0080487,nm0000331,Ty Webb
tt0080487,nm0001098,Al Czervik
tt0080487,nm0000195,Carl Spackler
tt0080487,nm0461095,Judge Elihu Smails
tt0080678,nm0000164,Dr. Frederick Treves
tt0080678,nm0000457,John Merrick
tt0080678,nm0000843,Mrs. Kendal
tt0080678,nm0000024,Carr Gomm
tt0080684,nm0000434,Luke Skywalker
tt0080684,nm0000148,Han Solo
tt0080684,nm0000402,Princess Leia
tt0080684,nm0001850,Lando Calrissian
tt0080761,nm0658133,Mrs. Voorhees
tt0080761,nm0454415,Alice
tt0080761,nm0852551,Marcie
tt0080761,nm0604987,Annie
tt0081398,nm0000134,Jake La Motta
tt0081398,nm0001550,Vickie La Motta
tt0081398,nm0000582,Joey
tt0081398,nm0898634,Salvy
tt0081505,nm0000197,Jack Torrance
tt0081505,nm0001167,Wendy Torrance
tt0081505,nm0515950,Danny Torrance
tt0081505,nm0001079,Dick Hallorann
tt0081573,nm0000432,Lex Luthor
tt0081573,nm0001659,Superman
tt0081573,nm0001659,Clark Kent
tt0081573,nm0452288,Lois Lane
tt0081573,nm0000885,Otis
tt0082010,nm0622544,David Kessler
tt0082010,nm0000256,Nurse Alex Price
tt0082010,nm0067643,Truck Driver
tt0082010,nm0001162,Jack Goodman
